County,AEA,District,District.Name,Graduation.Year,Diploma.Count,Private.4-Year.College,Public.4-Year.College,Private.2-Year.College,Community.College,Other.Training,Employment,Homemaker,Military,Unknown
42,7,0009,AGWSR,2012,51,8,12,24,0,0,4,0,1,2
39,11,0018,Adair-Casey,2012,34,2,7,15,0,4,5,0,1,0
25,11,0027,Adel DeSoto Minburn,2012,94,6,44,25,3,4,7,0,5,0
75,12,0063,Akron Westfield,2012,42,6,18,10,0,1,6,0,1,0
11,5,0072,Albert City-Truesdale,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68,15,0081,Albia,2012,74,3,23,41,0,0,6,0,1,0
57,10,0099,Alburnett,2012,52,5,18,27,0,0,2,0,0,0
42,7,0108,Alden,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,5,0126,Algona,2012,97,11,29,46,0,3,5,0,2,1
3,1,0135,Allamakee,2012,100,19,17,42,0,3,16,0,2,1
12,7,0153,North Butler,2012,43,12,8,16,0,2,5,0,0,0
11,5,0171,Alta,2012,56,11,11,23,0,0,4,0,7,0
85,11,0225,Ames,2012,314,64,150,63,3,1,12,1,2,18
53,10,0234,Anamosa,2012,115,21,27,37,2,1,12,0,6,9
49,9,0243,Andrew,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,11,0261,Ankeny,2012,497,90,181,134,3,5,30,0,7,47
12,7,0279,Aplington-Parkersburg,2012,72,10,13,38,2,0,5,1,3,0
32,5,0333,Armstrong-Ringsted,2012,57,4,21,22,1,1,5,0,2,1
24,12,0355,Ar-We-Va,2012,27,3,5,15,0,0,3,0,1,0
15,13,0387,Atlantic,2012,99,11,22,30,0,4,18,1,5,8
5,11,0414,Audubon,2012,54,6,18,19,0,4,5,0,2,0
18,12,0423,Aurelia,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,13,0441,A-H-S-T,2012,34,7,10,10,0,1,5,0,1,0
85,11,0472,Ballard,2012,111,16,38,44,0,0,8,0,2,3
47,12,0504,Battle Creek-Ida Grove,2012,67,11,24,19,2,1,10,0,0,0
50,11,0513,Baxter,2012,35,3,11,15,1,2,1,0,1,1
38,7,0540,BCLUW,2012,53,4,14,18,1,2,3,0,8,3
87,13,0549,Bedford,2012,40,1,19,9,0,1,7,0,0,3
6,10,0576,Belle Plaine,2012,48,5,13,25,0,1,1,0,2,1
49,9,0585,Bellevue,2012,54,8,7,24,0,2,7,0,2,4
99,7,0594,Belmond-Klemme,2012,41,0,8,13,0,0,6,0,0,14
16,9,0603,Bennett,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,10,0609,Benton,2012,124,27,26,52,1,0,17,0,0,1
82,9,0621,Bettendorf,2012,313,36,117,106,1,7,15,0,8,23
90,15,0657,Eddyville-Blakesburg-,2012,71,13,17,35,0,0,5,0,1,0
77,11,0720,Bondurant-Farrar,2012,84,11,14,35,8,2,8,0,6,0
8,11,0729,Boone,2012,186,14,31,73,0,9,19,5,11,24
84,12,0747,Boyden-Hull,2012,39,7,14,11,0,0,7,0,0,0
41,7,0819,West Hancock,2012,37,6,6,19,0,0,5,0,1,0
79,7,0846,Brooklyn-Guernsey-Malcom,2012,39,4,7,23,1,0,1,0,1,2
95,7,0873,North Iowa,2012,46,7,11,18,3,0,6,0,1,0
29,15,0882,Burlington,2012,263,10,41,134,2,11,32,0,15,18
15,13,0914,CAM,2012,32,4,5,11,1,2,8,0,1,0
35,7,0916,CAL,2012,14,1,2,8,0,0,3,0,0,0
23,9,0918,Calamus-Wheatland,2012,42,5,3,21,0,2,7,0,3,1
23,9,0936,Camanche,2012,67,9,9,28,0,3,11,0,3,4
90,15,0977,Cardinal,2012,32,1,1,17,1,3,5,0,0,4
91,11,0981,Carlisle,2012,114,14,21,54,1,0,13,0,10,1
14,11,0999,Carroll,2012,138,22,39,46,1,5,12,0,8,5
7,7,1044,Cedar Falls,2012,389,42,167,121,2,5,38,0,9,5
57,10,1053,Cedar Rapids,2012,1035,163,310,362,2,25,51,1,34,87
57,10,1062,Center Point-Urbana,2012,99,20,25,39,0,5,6,0,4,0
4,15,1071,Centerville,2012,97,2,10,53,0,6,9,1,7,9
56,15,1079,Central Lee,2012,80,4,21,42,1,3,5,0,2,2
22,1,1080,Central,2012,43,8,12,17,0,0,5,0,1,0
23,9,1082,Central Clinton,2012,114,19,24,47,1,0,6,0,0,17
57,10,1089,Central City,2012,30,1,6,19,0,1,3,0,0,0
27,13,1093,Central Decatur,2012,68,10,14,23,0,3,14,1,3,0
60,12,1095,Central Lyon,2012,50,11,13,7,5,3,9,0,1,1
59,15,1107,Chariton,2012,93,9,11,37,6,6,19,0,4,1
34,7,1116,Charles City,2012,138,13,36,50,0,4,15,1,4,15
24,12,1134,Charter Oak-Ute,2012,22,1,4,12,2,0,2,0,0,1
18,12,1152,Cherokee,2012,72,15,12,34,0,2,4,0,0,5
73,13,1197,Clarinda,2012,71,6,14,23,0,6,18,0,3,1
99,5,1206,Clarion-Goldfield,2012,65,7,15,26,0,4,9,0,1,3
20,13,1211,Clarke,2012,79,7,13,36,1,1,15,2,1,3
12,7,1215,Clarksville,2012,27,4,4,16,0,0,2,0,0,1
21,5,1218,Clay Central-Everly,2012,19,3,3,11,0,0,1,0,0,1
52,10,1221,Clear Creek Amana,2012,113,9,33,56,0,3,7,1,0,4
87,13,1224,Clearfield,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,7,1233,Clear Lake,2012,127,13,36,63,0,3,11,0,1,0
23,9,1278,Clinton,2012,222,23,44,105,2,11,29,0,8,0
50,11,1332,Colfax-Mingo,2012,48,9,10,11,0,5,10,0,0,3
57,10,1337,College,2012,32,0,0,11,0,0,3,0,0,18
85,11,1350,Collins-Maxwell,2012,32,7,12,10,0,0,0,0,3,0
85,11,1359,Colo-NESCO School,2012,34,4,8,15,0,0,1,0,0,6
58,9,1368,Columbus,2012,55,1,8,29,1,0,13,0,2,1
14,11,1413,Coon Rapids-Bayard,2012,25,2,6,8,0,1,5,0,3,0
2,13,1431,Corning,2012,39,5,12,11,0,1,9,0,1,0
41,7,1449,Corwith-Wesley,2012,21,2,8,8,0,1,2,0,0,0
78,13,1476,Council Bluffs,2012,628,50,106,205,7,28,55,5,27,145
88,13,1503,Creston,2012,104,9,29,44,1,0,18,0,2,1
25,11,1576,Dallas Center-Grimes,2012,139,25,52,44,0,1,12,0,3,2
29,15,1602,Danville,2012,40,5,4,26,0,1,3,0,1,0
82,9,1611,Davenport,2012,880,73,199,407,8,37,67,0,35,54
26,15,1619,Davis County,2012,88,7,24,38,0,10,3,0,3,3
96,1,1638,Decorah Community,2012,156,58,27,53,0,0,10,0,4,4
23,9,1675,Delwood,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,12,1701,Denison,2012,196,19,40,96,0,5,29,0,2,5
9,7,1719,Denver,2012,56,5,23,25,0,0,2,0,1,0
77,11,1737,Des Moines Independent,2012,1822,176,430,628,37,41,127,6,47,330
80,13,1782,Diagonal,2012,10,0,2,5,0,1,1,0,0,1
38,7,1791,Dike-New Hartford,2012,50,4,11,28,0,1,3,0,3,0
99,7,1854,Dows,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,1,1863,Dubuque,2012,775,141,159,285,3,13,116,2,27,29
7,7,1908,Dunkerton,2012,40,3,11,21,0,0,3,0,1,1
