"","district","district_name","overall_dropout","overall_enrollments","overall_rate","f_dropout","f_enrollments","f_rate","m_dropout","m_enrollments","m_rate","year"
"1",9,"AGWSR",2,230,0.87,0,112,0,2,118,1.69,2016
"2",18,"Adair-Casey",0,126,0,0,61,0,0,65,0,2016
"3",27,"Adel DeSoto Minburn",3,749,0.4,1,366,0.27,2,383,0.52,2016
"4",63,"Akron Westfield",1,246,0.41,1,108,0.93,0,138,0,2016
"5",81,"Albia",7,545,1.28,2,274,0.73,5,271,1.85,2016
"6",99,"Alburnett",4,286,1.4,1,131,0.76,3,155,1.94,2016
"7",126,"Algona",2,643,0.31,1,321,0.31,1,322,0.31,2016
"8",135,"Allamakee",9,560,1.61,2,292,0.68,7,268,2.61,2016
"9",153,"North Butler",4,255,1.57,1,112,0.89,3,143,2.1,2016
"10",171,"Alta",6,219,2.74,2,104,1.92,4,115,3.48,2016
"11",225,"Ames",20,1935,1.03,7,955,0.73,13,980,1.33,2016
"12",234,"Anamosa",6,621,0.97,3,306,0.98,3,315,0.95,2016
"13",243,"Andrew",1,35,2.86,0,16,0,1,19,5.26,2016
"14",261,"Ankeny",27,4685,0.58,10,2329,0.43,17,2356,0.72,2016
"15",279,"Aplington-Parkersburg",3,392,0.77,2,192,1.04,1,200,0.5,2016
"16",333,"North Union",2,195,1.03,1,108,0.93,1,87,1.15,2016
"17",355,"Ar-We-Va",1,93,1.08,0,44,0,1,49,2.04,2016
"18",387,"Atlantic",13,643,2.02,4,306,1.31,9,337,2.67,2016
"19",414,"Audubon",1,216,0.46,0,105,0,1,111,0.9,2016
"20",423,"Aurelia",1,103,0.97,0,55,0,1,48,2.08,2016
"21",441,"AHSTW",0,331,0,0,164,0,0,167,0,2016
"22",472,"Ballard",2,802,0.25,1,357,0.28,1,445,0.22,2016
"23",504,"Battle Creek-Ida Grove",1,275,0.36,0,136,0,1,139,0.72,2016
"24",513,"Baxter",3,190,1.58,0,84,0,3,106,2.83,2016
"25",540,"BCLUW",2,287,0.7,0,149,0,2,138,1.45,2016
"26",549,"Bedford",2,192,1.04,1,80,1.25,1,112,0.89,2016
"27",576,"Belle Plaine",6,256,2.34,3,134,2.24,3,122,2.46,2016
"28",585,"Bellevue",1,323,0.31,0,154,0,1,169,0.59,2016
"29",594,"Belmond-Klemme",0,332,0,0,166,0,0,166,0,2016
"30",609,"Benton",10,708,1.41,3,349,0.86,7,359,1.95,2016
"31",621,"Bettendorf",15,2284,0.66,4,1128,0.35,11,1156,0.95,2016
"32",657,"Eddyville-Blakesburg-",9,442,2.04,4,204,1.96,5,238,2.1,2016
"33",720,"Bondurant-Farrar",3,813,0.37,2,395,0.51,1,418,0.24,2016
"34",729,"Boone",12,963,1.25,7,474,1.48,5,489,1.02,2016
"35",747,"Boyden-Hull",4,304,1.32,2,148,1.35,2,156,1.28,2016
"36",819,"West Hancock",8,264,3.03,4,130,3.08,4,134,2.99,2016
"37",846,"Brooklyn-Guernsey-Malcom",1,244,0.41,1,137,0.73,0,107,0,2016
"38",873,"North Iowa",3,205,1.46,1,102,0.98,2,103,1.94,2016
"39",882,"Burlington",98,1697,5.77,47,843,5.58,51,854,5.97,2016
"40",914,"CAM",57,575,9.91,34,324,10.49,23,251,9.16,2016
"41",916,"CAL",3,101,2.97,2,47,4.26,1,54,1.85,2016
"42",918,"Calamus-Wheatland",3,226,1.33,2,104,1.92,1,122,0.82,2016
"43",936,"Camanche",11,458,2.4,4,214,1.87,7,244,2.87,2016
"44",977,"Cardinal",2,310,0.65,1,156,0.64,1,154,0.65,2016
"45",981,"Carlisle",11,926,1.19,2,435,0.46,9,491,1.83,2016
"46",999,"Carroll",7,719,0.97,4,341,1.17,3,378,0.79,2016
"47",1044,"Cedar Falls",19,2348,0.81,9,1160,0.78,10,1188,0.84,2016
"48",1053,"Cedar Rapids",328,7515,4.36,141,3695,3.82,187,3820,4.9,2016
"49",1062,"Center Point-Urbana",5,698,0.72,3,342,0.88,2,356,0.56,2016
"50",1071,"Centerville",18,603,2.99,5,289,1.73,13,314,4.14,2016
"51",1079,"Central Lee",7,488,1.43,3,240,1.25,4,248,1.61,2016
"52",1080,"Central",2,191,1.05,1,100,1,1,91,1.1,2016
"53",1082,"Central DeWitt",6,743,0.81,1,355,0.28,5,388,1.29,2016
"54",1089,"Central City",1,200,0.5,0,103,0,1,97,1.03,2016
"55",1093,"Central Decatur",3,296,1.01,1,141,0.71,2,155,1.29,2016
"56",1095,"Central Lyon",3,298,1.01,2,149,1.34,1,149,0.67,2016
"57",1107,"Chariton",9,597,1.51,2,291,0.69,7,306,2.29,2016
"58",1116,"Charles City",9,755,1.19,2,379,0.53,7,376,1.86,2016
"59",1134,"Charter Oak-Ute",3,125,2.4,1,65,1.54,2,60,3.33,2016
"60",1152,"Cherokee",7,440,1.59,3,220,1.36,4,220,1.82,2016
"61",1197,"Clarinda",7,421,1.66,7,215,3.26,0,206,0,2016
"62",1206,"Clarion-Goldfield-Dows",18,442,4.07,7,219,3.2,11,223,4.93,2016
"63",1211,"Clarke",12,589,2.04,2,273,0.73,10,316,3.16,2016
"64",1215,"Clarksville",1,130,0.77,1,66,1.52,0,64,0,2016
"65",1218,"Clay Central-Everly",1,139,0.72,1,71,1.41,0,68,0,2016
"66",1221,"Clear Creek Amana",8,940,0.85,4,445,0.9,4,495,0.81,2016
"67",1233,"Clear Lake",11,582,1.89,4,263,1.52,7,319,2.19,2016
"68",1278,"Clinton",43,1512,2.84,15,764,1.96,28,748,3.74,2016
"69",1332,"Colfax-Mingo",4,310,1.29,1,159,0.63,3,151,1.99,2016
"70",1337,"College",48,2415,1.99,23,1200,1.92,25,1215,2.06,2016
"71",1350,"Collins-Maxwell",4,203,1.97,3,114,2.63,1,89,1.12,2016
"72",1359,"Colo-NESCO",1,212,0.47,1,106,0.94,0,106,0,2016
"73",1368,"Columbus",3,317,0.95,3,147,2.04,0,170,0,2016
"74",1413,"Coon Rapids-Bayard",3,180,1.67,1,86,1.16,2,94,2.13,2016
"75",1431,"Corning",3,203,1.48,1,87,1.15,2,116,1.72,2016
"76",1476,"Council Bluffs",79,3801,2.08,23,1858,1.24,56,1943,2.88,2016
"77",1503,"Creston",10,658,1.52,5,324,1.54,5,334,1.5,2016
"78",1576,"Dallas Center-Grimes",14,1204,1.16,5,582,0.86,9,622,1.45,2016
"79",1602,"Danville",2,300,0.67,1,148,0.68,1,152,0.66,2016
"80",1611,"Davenport",247,6819,3.62,108,3298,3.27,139,3521,3.95,2016
"81",1619,"Davis County",10,529,1.89,5,279,1.79,5,250,2,2016
"82",1638,"Decorah Community",6,804,0.75,4,396,1.01,2,408,0.49,2016
"83",1701,"Denison",21,1024,2.05,8,489,1.64,13,535,2.43,2016
"84",1719,"Denver",0,342,0,0,153,0,0,189,0,2016
"85",1737,"Des Moines Independent",718,14032,5.12,299,6766,4.42,419,7266,5.77,2016
"86",1782,"Diagonal",0,47,0,0,25,0,0,22,0,2016
"87",1791,"Dike-New Hartford",1,400,0.25,0,200,0,1,200,0.5,2016
"88",1863,"Dubuque",85,4851,1.75,29,2355,1.23,56,2496,2.24,2016
"89",1908,"Dunkerton",1,216,0.46,1,109,0.92,0,107,0,2016
"90",1917,"Boyer Valley",4,217,1.84,2,99,2.02,2,118,1.69,2016
"91",1926,"Durant",8,325,2.46,3,155,1.94,5,170,2.94,2016
"92",1944,"Eagle Grove",13,367,3.54,4,180,2.22,9,187,4.81,2016
"93",1953,"Earlham",0,301,0,0,138,0,0,163,0,2016
"94",1963,"East Buchanan",4,265,1.51,3,126,2.38,1,139,0.72,2016
"95",1965,"Easton Valley",4,239,1.67,1,99,1.01,3,140,2.14,2016
"96",1968,"East Marshall",6,390,1.54,1,196,0.51,5,194,2.58,2016
"97",1970,"East Union",7,226,3.1,4,117,3.42,3,109,2.75,2016
"98",1972,"Eastern Allamakee",1,187,0.53,0,88,0,1,99,1.01,2016
"99",1975,"River Valley",0,195,0,0,101,0,0,94,0,2016
"100",1989,"Edgewood-Colesburg",2,246,0.81,0,119,0,2,127,1.57,2016
"101",2007,"Eldora-New Providence",4,291,1.37,2,133,1.5,2,158,1.27,2016
"102",2088,"Emmetsburg",11,386,2.85,3,175,1.71,8,211,3.79,2016
"103",2097,"English Valleys",1,203,0.49,1,110,0.91,0,93,0,2016
"104",2113,"Essex",0,111,0,0,60,0,0,51,0,2016
"105",2124,"Estherville Lincoln",4,587,0.68,3,284,1.06,1,303,0.33,2016
"106",2151,"Exira-Elk Horn-",2,195,1.03,0,90,0,2,105,1.9,2016
"107",2169,"Fairfield",10,754,1.33,2,346,0.58,8,408,1.96,2016
"108",2295,"Forest City",12,542,2.21,5,255,1.96,7,287,2.44,2016
"109",2313,"Fort Dodge",68,1651,4.12,34,787,4.32,34,864,3.94,2016
"110",2322,"Fort Madison",14,865,1.62,7,446,1.57,7,419,1.67,2016
"111",2369,"Fremont-Mills",1,207,0.48,1,103,0.97,0,104,0,2016
"112",2376,"Galva-Holstein",1,192,0.52,1,93,1.08,0,99,0,2016
"113",2403,"Garner-Hayfield-Ventura",2,477,0.42,1,230,0.43,1,247,0.4,2016
"114",2457,"George-Little Rock",7,205,3.41,1,87,1.15,6,118,5.08,2016
"115",2466,"Gilbert",5,699,0.72,1,325,0.31,4,374,1.07,2016
"116",2502,"Gladbrook-Reinbeck",2,218,0.92,0,110,0,2,108,1.85,2016
"117",2511,"Glenwood",10,918,1.09,6,425,1.41,4,493,0.81,2016
"118",2520,"Glidden-Ralston",1,149,0.67,1,75,1.33,0,74,0,2016
"119",2556,"Graettinger-Terril",1,152,0.66,0,71,0,1,81,1.23,2016
"120",2673,"Nodaway Valley",4,312,1.28,1,167,0.6,3,145,2.07,2016
"121",2682,"GMG",2,235,0.85,0,106,0,2,129,1.55,2016
"122",2709,"Grinnell-Newburg",21,753,2.79,8,353,2.27,13,400,3.25,2016
"123",2718,"Griswold",2,238,0.84,1,126,0.79,1,112,0.89,2016
"124",2727,"Grundy Center",2,304,0.66,1,132,0.76,1,172,0.58,2016
"125",2754,"Guthrie Center",4,229,1.75,1,115,0.87,3,114,2.63,2016
"126",2763,"Clayton Ridge",25,482,5.19,17,250,6.8,8,232,3.45,2016
"127",2766,"H-L-V",0,144,0,0,73,0,0,71,0,2016
"128",2772,"Hamburg",4,40,10,0,12,0,4,28,14.29,2016
"129",2781,"Hampton-Dumont",6,538,1.12,3,279,1.08,3,259,1.16,2016
"130",2826,"Harlan",9,772,1.17,3,354,0.85,6,418,1.44,2016
"131",2846,"Harris-Lake Park",0,153,0,0,66,0,0,87,0,2016
"132",2862,"Hartley-Melvin-Sanborn",3,264,1.14,1,121,0.83,2,143,1.4,2016
"133",2977,"Highland",2,311,0.64,1,139,0.72,1,172,0.58,2016
"134",2988,"Hinton",1,342,0.29,1,154,0.65,0,188,0,2016
"135",3029,"Howard-Winneshiek",8,589,1.36,4,294,1.36,4,295,1.36,2016
"136",3033,"Hubbard-Radcliffe",0,137,0,0,60,0,0,77,0,2016
"137",3042,"Hudson",1,304,0.33,0,142,0,1,162,0.62,2016
"138",3060,"Humboldt",10,720,1.39,3,372,0.81,7,348,2.01,2016
"139",3105,"Independence",3,673,0.45,2,333,0.6,1,340,0.29,2016
"140",3114,"Indianola",23,1684,1.37,12,809,1.48,11,875,1.26,2016
"141",3119,"Interstate 35",5,381,1.31,1,180,0.56,4,201,1.99,2016
"142",3141,"Iowa City",76,5931,1.28,29,2921,0.99,47,3010,1.56,2016
"143",3150,"Iowa Falls",11,635,1.73,2,330,0.61,9,305,2.95,2016
"144",3154,"Iowa Valley",1,223,0.45,0,105,0,1,118,0.85,2016
"145",3168,"IKM-Manning",3,307,0.98,3,149,2.01,0,158,0,2016
"146",3186,"Janesville Consolidated",0,153,0,0,73,0,0,80,0,2016
"147",3195,"Greene County",15,583,2.57,7,277,2.53,8,306,2.61,2016
"148",3204,"Jesup",4,371,1.08,2,160,1.25,2,211,0.95,2016
"149",3231,"Johnston",10,3130,0.32,2,1527,0.13,8,1603,0.5,2016
"150",3312,"Keokuk",27,824,3.28,10,404,2.48,17,420,4.05,2016
"151",3330,"Keota",1,126,0.79,0,49,0,1,77,1.3,2016
"152",3348,"Kingsley-Pierson",0,213,0,0,110,0,0,103,0,2016
"153",3375,"Knoxville",9,755,1.19,4,393,1.02,5,362,1.38,2016
"154",3420,"Lake Mills",3,314,0.96,0,159,0,3,155,1.94,2016
"155",3465,"Lamoni",1,157,0.64,0,82,0,1,75,1.33,2016
"156",3537,"Laurens-Marathon",2,87,2.3,0,37,0,2,50,4,2016
"157",3555,"Lawton-Bronson",0,271,0,0,135,0,0,136,0,2016
"158",3600,"Le Mars",11,977,1.13,3,448,0.67,8,529,1.51,2016
"159",3609,"Lenox",0,207,0,0,95,0,0,112,0,2016
"160",3645,"Lewis Central",17,1419,1.2,8,689,1.16,9,730,1.23,2016
"161",3691,"North Cedar",7,364,1.92,3,182,1.65,4,182,2.2,2016
"162",3715,"Linn-Mar",53,3282,1.61,17,1608,1.06,36,1674,2.15,2016
"163",3744,"Lisbon",7,284,2.46,2,144,1.39,5,140,3.57,2016
"164",3798,"Logan-Magnolia",2,303,0.66,1,149,0.67,1,154,0.65,2016
"165",3816,"Lone Tree",2,216,0.93,1,103,0.97,1,113,0.88,2016
"166",3841,"Louisa-Muscatine",9,394,2.28,4,185,2.16,5,209,2.39,2016
"167",3906,"Lynnville-Sully",1,227,0.44,0,101,0,1,126,0.79,2016
"168",3942,"Madrid",1,325,0.31,1,159,0.63,0,166,0,2016
"169",3978,"East Mills",9,215,4.19,4,108,3.7,5,107,4.67,2016
"170",4023,"Manson Northwest Webster",4,327,1.22,2,166,1.2,2,161,1.24,2016
"171",4033,"Maple Valley-Anthon Oto",5,284,1.76,2,141,1.42,3,143,2.1,2016
"172",4041,"Maquoketa",13,758,1.72,2,349,0.57,11,409,2.69,2016
"173",4043,"Maquoketa Valley",3,314,0.96,1,165,0.61,2,149,1.34,2016
"174",4068,"Marcus-Meriden-Cleghorn",5,167,2.99,2,91,2.2,3,76,3.95,2016
"175",4086,"Marion Independent",14,971,1.44,6,473,1.27,8,498,1.61,2016
"176",4104,"Marshalltown",79,2213,3.57,31,1069,2.9,48,1144,4.2,2016
"177",4122,"Martensdale-St Marys",8,277,2.89,2,118,1.69,6,159,3.77,2016
"178",4131,"Mason City",40,1610,2.48,21,801,2.62,19,809,2.35,2016
"179",4149,"MOC-Floyd Valley",9,602,1.5,4,284,1.41,5,318,1.57,2016
"180",4203,"Mediapolis",3,348,0.86,2,157,1.27,1,191,0.52,2016
"181",4212,"Melcher-Dallas",4,133,3.01,0,61,0,4,72,5.56,2016
"182",4269,"Midland",3,220,1.36,0,99,0,3,121,2.48,2016
"183",4271,"Mid-Prairie",0,588,0,0,279,0,0,309,0,2016
"184",4356,"Missouri Valley",0,381,0,0,198,0,0,183,0,2016
"185",4419,"MFL MarMac",1,310,0.32,0,160,0,1,150,0.67,2016
"186",4437,"Montezuma",7,242,2.89,2,115,1.74,5,127,3.94,2016
"187",4446,"Monticello",1,524,0.19,0,260,0,1,264,0.38,2016
"188",4491,"Moravia",1,170,0.59,1,90,1.11,0,80,0,2016
"189",4505,"Mormon Trail",0,95,0,0,47,0,0,48,0,2016
"190",4509,"Morning Sun",1,96,1.04,0,40,0,1,56,1.79,2016
"191",4518,"Moulton-Udell",0,87,0,0,43,0,0,44,0,2016
"192",4527,"Mount Ayr",0,282,0,0,138,0,0,144,0,2016
"193",4536,"Mount Pleasant",20,925,2.16,10,455,2.2,10,470,2.13,2016
"194",4554,"Mount Vernon",0,613,0,0,287,0,0,326,0,2016
"195",4572,"Murray",0,146,0,0,80,0,0,66,0,2016
"196",4581,"Muscatine",56,2274,2.46,26,1133,2.29,30,1141,2.63,2016
"197",4599,"Nashua-Plainfield",3,267,1.12,1,121,0.83,2,146,1.37,2016
"198",4617,"Nevada",11,691,1.59,4,348,1.15,7,343,2.04,2016
"199",4644,"Newell-Fonda",2,214,0.93,1,107,0.93,1,107,0.93,2016
"200",4662,"New Hampton",12,482,2.49,3,237,1.27,9,245,3.67,2016
"201",4689,"New London",2,232,0.86,1,97,1.03,1,135,0.74,2016
"202",4725,"Newton",32,1328,2.41,14,653,2.14,18,675,2.67,2016
"203",4772,"Central Springs",5,356,1.4,2,188,1.06,3,168,1.79,2016
"204",4773,"Northeast",2,418,0.48,1,204,0.49,1,214,0.47,2016
"205",4774,"North Fayette",5,333,1.5,2,170,1.18,3,163,1.84,2016
"206",4776,"North Mahaska",4,266,1.5,0,127,0,4,139,2.88,2016
"207",4777,"North Linn",3,314,0.96,1,154,0.65,2,160,1.25,2016
"208",4778,"North Kossuth",0,98,0,0,56,0,0,42,0,2016
"209",4779,"North Polk",3,668,0.45,1,331,0.3,2,337,0.59,2016
"210",4784,"North Scott",11,1422,0.77,4,686,0.58,7,736,0.95,2016
"211",4785,"North Tama County",4,228,1.75,0,95,0,4,133,3.01,2016
"212",4787,"North Winneshiek",1,25,4,0,10,0,1,15,6.67,2016
"213",4788,"Northwood-Kensett",1,241,0.41,0,125,0,1,116,0.86,2016
"214",4797,"Norwalk",13,1234,1.05,7,601,1.16,6,633,0.95,2016
"215",4860,"Odebolt-Arthur",1,148,0.68,1,73,1.37,0,75,0,2016
"216",4869,"Oelwein",7,546,1.28,4,272,1.47,3,274,1.09,2016
"217",4878,"Ogden",7,339,2.06,3,160,1.88,4,179,2.23,2016
"218",4890,"Okoboji",4,406,0.99,2,194,1.03,2,212,0.94,2016
"219",4978,"Orient-Macksburg",2,76,2.63,1,32,3.13,1,44,2.27,2016
"220",4995,"Osage",2,436,0.46,1,227,0.44,1,209,0.48,2016
"221",5013,"Oskaloosa",15,1031,1.45,5,489,1.02,10,542,1.85,2016
"222",5049,"Ottumwa",50,1879,2.66,19,933,2.04,31,946,3.28,2016
"223",5121,"Panorama",3,367,0.82,1,171,0.58,2,196,1.02,2016
"224",5139,"Paton-Churdan",0,91,0,0,40,0,0,51,0,2016
"225",5160,"PCM",3,485,0.62,2,239,0.84,1,246,0.41,2016
"226",5163,"Pekin",5,324,1.54,2,163,1.23,3,161,1.86,2016
"227",5166,"Pella",1,1013,0.1,1,499,0.2,0,514,0,2016
"228",5184,"Perry",11,873,1.26,2,407,0.49,9,466,1.93,2016
"229",5250,"Pleasant Valley",8,2102,0.38,2,1044,0.19,6,1058,0.57,2016
"230",5256,"Pleasantville",1,348,0.29,0,154,0,1,194,0.52,2016
"231",5283,"Pocahontas Area",7,356,1.97,3,177,1.69,4,179,2.23,2016
"232",5310,"Postville",4,294,1.36,1,136,0.74,3,158,1.9,2016
"233",5325,"Prairie Valley",2,354,0.56,2,175,1.14,0,179,0,2016
"234",5463,"Red Oak",10,513,1.95,4,248,1.61,6,265,2.26,2016
"235",5486,"Remsen-Union",0,81,0,0,43,0,0,38,0,2016
"236",5508,"Riceville",1,148,0.68,1,72,1.39,0,76,0,2016
"237",5510,"Riverside",3,247,1.21,0,111,0,3,136,2.21,2016
"238",5607,"Rock Valley",5,337,1.48,2,146,1.37,3,191,1.57,2016
"239",5643,"Roland-Story",3,502,0.6,2,241,0.83,1,261,0.38,2016
"240",5697,"Rudd-Rockford-Marble Rk",1,240,0.42,0,123,0,1,117,0.85,2016
"241",5724,"Ruthven-Ayrshire",2,88,2.27,1,35,2.86,1,53,1.89,2016
"242",5751,"St Ansgar",0,294,0,0,154,0,0,140,0,2016
"243",5805,"Saydel",6,623,0.96,3,285,1.05,3,338,0.89,2016
"244",5823,"Schaller-Crestland",0,102,0,0,45,0,0,57,0,2016
"245",5832,"Schleswig",0,31,0,0,19,0,0,12,0,2016
"246",5877,"Sergeant Bluff-Luton",1,738,0.14,0,356,0,1,382,0.26,2016
"247",5895,"Seymour",0,126,0,0,67,0,0,59,0,2016
"248",5922,"West Fork CSD",4,305,1.31,3,149,2.01,1,156,0.64,2016
"249",5949,"Sheldon",12,499,2.4,5,237,2.11,7,262,2.67,2016
"250",5976,"Shenandoah",4,475,0.84,1,234,0.43,3,241,1.24,2016
"251",5994,"Sibley-Ocheyedan",8,354,2.26,2,161,1.24,6,193,3.11,2016
"252",6003,"Sidney",3,253,1.19,1,109,0.92,2,144,1.39,2016
"253",6012,"Sigourney",3,265,1.13,0,113,0,3,152,1.97,2016
"254",6030,"Sioux Center",29,543,5.34,15,263,5.7,14,280,5,2016
"255",6035,"Sioux Central",10,311,3.22,5,155,3.23,5,156,3.21,2016
"256",6039,"Sioux City",155,6112,2.54,56,2938,1.91,99,3174,3.12,2016
"257",6091,"South Central Calhoun",5,398,1.26,1,189,0.53,4,209,1.91,2016
"258",6093,"Solon",0,678,0,0,315,0,0,363,0,2016
"259",6094,"Southeast Warren",5,241,2.07,3,101,2.97,2,140,1.43,2016
"260",6095,"South Hamilton",4,365,1.1,0,176,0,4,189,2.12,2016
"261",6096,"Southeast Webster Grand",0,173,0,0,74,0,0,99,0,2016
"262",6097,"South Page",1,55,1.82,1,35,2.86,0,20,0,2016
"263",6098,"South Tama County",16,686,2.33,5,334,1.5,11,352,3.13,2016
"264",6099,"South O'Brien",8,289,2.77,2,127,1.57,6,162,3.7,2016
"265",6100,"South Winneshiek",7,268,2.61,6,127,4.72,1,141,0.71,2016
"266",6101,"Southeast Polk",16,3017,0.53,7,1523,0.46,9,1494,0.6,2016
"267",6102,"Spencer",4,910,0.44,1,465,0.22,3,445,0.67,2016
"268",6120,"Spirit Lake",5,596,0.84,2,283,0.71,3,313,0.96,2016
"269",6138,"Springville",0,180,0,0,92,0,0,88,0,2016
"270",6165,"Stanton",1,114,0.88,1,49,2.04,0,65,0,2016
"271",6175,"Starmont",2,279,0.72,1,143,0.7,1,136,0.74,2016
"272",6219,"Storm Lake",18,1055,1.71,10,506,1.98,8,549,1.46,2016
"273",6264,"West Central Valley",3,368,0.82,1,168,0.6,2,200,1,2016
"274",6273,"Sumner-Fredericksburg",2,364,0.55,1,188,0.53,1,176,0.57,2016
"275",6408,"Tipton",4,454,0.88,0,234,0,4,220,1.82,2016
"276",6453,"Treynor",0,352,0,0,178,0,0,174,0,2016
"277",6460,"Tri-Center",1,312,0.32,0,134,0,1,178,0.56,2016
"278",6462,"Tri-County",0,109,0,0,57,0,0,52,0,2016
"279",6471,"Tripoli",3,213,1.41,2,103,1.94,1,110,0.91,2016
"280",6509,"Turkey Valley",0,177,0,0,79,0,0,98,0,2016
"281",6512,"Twin Cedars",5,165,3.03,3,84,3.57,2,81,2.47,2016
"282",6534,"Underwood",0,404,0,0,171,0,0,233,0,2016
