"","Graduating.Class","Fall.Freshman.Year","District","District.Name","Graduates","Total.Cohort","Graduation.Rate","Graduation.Rate.Category"
"5",2014,2010,5160,"PCM",65,70,92.9,"90.1 - 100%"
"7",2010,2006,5160,"PCM",74,86,86.1,"80.1 - 90%"
"8",2013,2009,171,"Alta",51,51,100,"90.1 - 100%"
"9",2017,2013,2727,"Grundy Center",53,53,100,"90.1 - 100%"
"10",2014,2010,1503,"Creston",101,111,91,"90.1 - 100%"
"12",2009,2005,4725,"Newton",220,254,86.6,"80.1 - 90%"
"13",2009,2005,5256,"Pleasantville",53,55,96.4,"90.1 - 100%"
"14",2017,2013,4041,"Maquoketa",123,133,92.5,"90.1 - 100%"
"15",2017,2013,3150,"Iowa Falls",94,100,94,"90.1 - 100%"
"16",2017,2013,2403,"Garner-Hayfield-Ventura",81,84,96.4,"90.1 - 100%"
"17",2012,2008,2754,"Guthrie Center",40,44,90.9,"90.1 - 100%"
"18",2013,2009,1975,"River Valley",24,26,92.3,"90.1 - 100%"
"19",2011,2007,6937,"West Burlington",49,56,87.5,"80.1 - 90%"
"20",2010,2006,3231,"Johnston",384,398,96.5,"90.1 - 100%"
"21",2013,2009,2673,"Nodaway Valley",58,60,96.7,"90.1 - 100%"
"22",2009,2005,2709,"Grinnell-Newburg",115,132,87.1,"80.1 - 90%"
"23",2011,2007,1368,"Columbus",50,65,76.9,"70.1 - 80%"
"24",2014,2010,6700,"Waco",28,31,90.3,"90.1 - 100%"
"25",2013,2009,1206,"Clarion-Goldfield",60,63,95.2,"90.1 - 100%"
"26",2011,2007,1576,"Dallas Center-Grimes",130,139,93.5,"90.1 - 100%"
"27",2016,2012,4785,"North Tama County",34,39,87.2,"80.1 - 90%"
"28",2010,2006,4043,"Maquoketa Valley",66,68,97.1,"90.1 - 100%"
"29",2017,2013,3609,"Lenox",35,36,97.2,"90.1 - 100%"
"30",2010,2006,6039,"Sioux City",748,945,79.2,"70.1 - 80%"
"31",2016,2012,1863,"Dubuque",701,781,89.8,"80.1 - 90%"
